X,Artist,Followers,Genres,NumAlbums,YearFirstAlbum,Gender,Group.Solo
46,Jake Owen,1241447,"contemporary country,country,country road,modern country rock",6,2006,M,Solo
47,Carrie Underwood,3564883,"contemporary country,country,country dawn,dance pop,pop,post-teen pop",6,2005,F,Solo
48,Mark Ronson,691165,"dance pop,pop",5,2003,M,Solo
49,John Mayer,4128148,"neo mellow,pop,pop rock,singer-songwriter",15,1999,M,Solo
50,Gesaffelstein,283857,destroy techno,3,2011,M,Solo
51,Lil Wayne,8360644,"hip hop,new orleans rap,pop,pop rap,rap,trap music",25,1999,M,Solo
52,Dierks Bentley,1962590,"contemporary country,country,country road,modern country rock",11,2003,M,Solo
53,Hikaru Utada,1176108,"anime,j-pop,japanese singer-songwriter",8,1999,F,Solo
54,Eminem,30220119,"detroit hip hop,g funk,hip hop,rap",12,1999,M,Solo
55,Mariah Carey,4851294,"dance pop,pop,r&b,urban contemporary",16,1990,F,Solo
56,Bobby Helms,10470,,21,1957,M,Solo
57,Brenda Lee,135670,"adult standards,brill building pop,easy listening,lounge,nashville sound,rockabilly,vocal jazz",30,1959,F,Solo
58,Burl Ives,30827,"adult standards,american folk revival",55,1949,M,Solo
59,Nat King Cole,1126685,"adult standards,vocal jazz",67,1954,M,Solo
60,Andy Williams,225919,"adult standards,brill building pop,easy listening,lounge,mellow gold,operatic pop,vocal jazz",48,1961,M,Solo
61,Wham!,944180,"dance pop,dance rock,disco,europop,motown,new romantic,new wave,new wave pop,soft rock",3,1983,M,Group
62,The Ronettes,118326,"brill building pop,classic girl group,motown,rock-and-roll",4,1962,F,Group
63,Gene Autry,23974,"adult standards,cowboy western,nashville sound,traditional country,yodeling",23,1929,M,Solo
64,Jose Feliciano,150572,"latin pop,puerto rican pop",74,1965,M,Solo
65,Perry Como,193290,"adult standards,brill building pop,easy listening,lounge,vocal jazz",37,1958,M,Solo
66,Bing Crosby,250331,"adult standards,easy listening,lounge,vocal jazz",66,1932,M,Solo
67,Elvis Presley,3487016,"rock-and-roll,rockabilly",75,1956,M,Solo
68,Darlene Love,26421,brill building pop,7,1963,F,Solo
69,Kelly Clarkson,5629156,"dance pop,neo mellow,pop,pop rock,post-teen pop,talent show",8,2003,F,Solo
70,Chuck Berry,971678,"blues rock,classic rock,rock,rock-and-roll,rockabilly,soul",29,1957,M,Solo
71,Frank Sinatra,3285549,"adult standards,easy listening,lounge",58,1946,M,Solo
72,Paul McCartney,2497755,"album rock,art rock,classic rock,folk rock,mellow gold,rock,soft rock",43,1967,M,Solo
73,Kanye West,10455779,"chicago rap,hip hop,pop rap,rap",13,2004,M,Solo
74,Queen,20501475,"glam rock,rock",28,1973,M,Group
75,Tiesto,4660334,"big room,brostep,dance pop,edm,electro house,house,pop,trance,tropical house",56,1997,M,Solo
76,Calvin Harris,18493843,"dance pop,edm,electro house,house,pop,progressive house,uk dance",5,2007,M,Solo
77,Michael Jackson,12232437,"pop,r&b,soul",16,1972,M,Solo
78,Steve Aoki,3263313,"big room,dance pop,edm,electro house,pop,tropical house",11,2007,M,Solo
79,Weezer,1808162,"alternative rock,modern rock,permanent wave,pop punk,pop rock,post-grunge,rock",17,1994,M,Group
80,twenty one pilots,14842963,"indie pop,pop punk,rock",5,2009,M,Group
81,Avril Lavigne,5051153,"canadian pop,candy pop,dance pop,pop,post-teen pop",3,2002,F,Solo
82,Mac Miller,3567365,"hip hop,pittsburgh rap,pop rap,rap",8,2011,M,Solo
83,Wiz Khalifa,8515882,"hip hop,pittsburgh rap,pop,pop rap,rap,southern hip hop,trap music",23,2006,M,Solo
84,Childish Gambino,5537876,"atl hip hop,hip hop,pop,pop rap,rap",6,2011,M,Solo
85,Kenny Chesney,2669350,"contemporary country,country,country road",20,1994,M,Solo
86,Ciara,4009542,"dance pop,hip pop,pop,pop rap,post-teen pop,r&b,urban contemporary",9,2004,F,Solo
87,Backstreet Boys,2658991,"boy band,dance pop",10,1996,M,Solo
88,Janet,1704008,"dance pop,hip pop,neo soul,new jack swing,pop,r&b,urban contemporary",12,1982,F,Solo
89,Li,1249783,"art pop,chamber pop,electropop,folk-pop,indie pop,indietronica,pop,swedish electropop,swedish indie pop,swedish pop",5,2008,,
90,Jason Mraz,4811172,"acoustic pop,neo mellow,pop,pop rock",10,2002,M,Solo
91,Keith Urban,3353002,"australian country,contemporary country,country,country road",13,1997,M,Solo
92,Demi Lovato,15274062,"dance pop,pop,post-teen pop",9,2008,F,Solo
93,Foster The People,2692816,"indie pop,modern rock,pop,rock",3,2011,M,Group
94,David Lee Murphy,130041,"contemporary country,country,country road,country rock,modern country rock",4,1994,M,Solo
95,Reik,3279005,"latin,latin arena pop,latin pop,mexican pop,pop,reggaeton",8,2005,M,Group
96,Juicy J,1917581,"crunk,dirty south rap,gangster rap,hip hop,memphis hip hop,pop rap,rap,southern hip hop,trap music",10,2002,M,Solo
97,Kendrick Lamar,13325462,"conscious hip hop,hip hop,pop rap,rap,west coast rap",7,2010,M,Solo
98,Pitbull,7293018,"dance pop,latin,miami hip hop,pop,pop rap",15,2004,M,Solo
99,El Chombo,39494,"latin,latin hip hop,panamanian pop,reggaeton,tropical",3,1998,M,Solo
100,Sugarland,1037915,"contemporary country,country,country dawn,country road,modern country rock,pop rock",7,2004,,Group
101,Gorillaz,4812524,"alternative hip hop,art pop,rock",9,2001,M,Group
102,Pusha T,1447211,"gangster rap,hip hop,pop rap,rap,southern hip hop,trap music,underground hip hop",7,2011,M,Solo
103,Jay Rock,687325,"conscious hip hop,gangster rap,hip hop,pop rap,rap,southern hip hop,trap music,underground hip hop",4,2010,M,Solo
104,James Blake,903418,"indie r&b,indietronica,pop,uk alternative pop",4,2011,M,Solo
105,Jennifer Lopez,7079556,"dance pop,pop,pop rap,post-teen pop,urban contemporary",8,1999,F,Solo
106,Darius Rucker,1361255,"contemporary country,country,country road,modern country rock",7,2002,M,Solo
107,Kevin Gates,2668994,"baton rouge rap,hip hop,pop rap,rap,southern hip hop,trap music",13,2009,M,Solo
108,Pharrell Williams,2900721,"pop,pop rap",4,2006,M,Solo
109,Tank,446775,"deep pop r&b,r&b,rap,urban contemporary",8,2001,M,Solo
110,Justin Timberlake,8365398,"dance pop,pop,pop rap",6,2002,M,Solo
111,Portugal. The Man,996901,"indie pop,indie rock,modern rock",9,2006,,Group
112,High Valley,80711,"alberta country,canadian contemporary country,canadian country,contemporary country,country,country road,modern country rock",5,2010,M,Group
113,Rihanna,34436700,"barbadian pop,dance pop,pop,post-teen pop,r&b,urban contemporary",16,2005,F,Solo
114,Luis Fonsi,7253765,"dance pop,latin,latin pop,pop,puerto rican pop,reggaeton,tropical",17,1998,M,Solo
115,Miguel,2472516,"dance pop,pop,pop rap,r&b,rap,urban contemporary",4,2010,M,Solo
116,Janelle Monae,759853,"alternative r&b,atl hip hop,dance pop,electropop,escape room,neo soul,pop,r&b",3,2008,F,Solo
117,Plies,959477,"dance pop,dirty south rap,gangster rap,hip hop,miami hip hop,pop rap,rap,southern hip hop,trap music",20,2005,M,Solo
118,Easton Corbin,571545,"contemporary country,country,country road,modern country rock",3,2010,M,Solo
119,Enrique Iglesias,8796153,"dance pop,latin,latin pop,mexican pop,pop,tropical",14,1995,M,Solo
120,Big Sean,6653562,"detroit hip hop,hip hop,pop,pop rap,rap,southern hip hop,trap music",7,2011,M,Solo
121,Shakira,17399459,"colombian pop,dance pop,latin,latin pop,mexican pop,pop",11,1995,F,Solo
122,Tim McGraw,2860176,"contemporary country,country,country road",19,1993,M,Solo
123,Faith Hill,945298,"contemporary country,country,country dawn,country road,pop rock",10,1993,F,Solo
124,Coldplay,22458057,"permanent wave,pop",10,2000,M,Group
125,Wisin,4955084,"dance pop,latin,latin hip hop,latin pop,pop,reggaeton,reggaeton flow,tropical",4,2004,M,Solo
126,Billy Currington,1508682,"contemporary country,country,country road,modern country rock",6,2003,M,Solo
127,The Revivalists,215392,"modern alternative rock,modern rock",4,2010,M,Group
128,David Guetta,20121007,"dance pop,edm,pop",15,2002,M,Solo
129,Major Lazer,5726943,"dance pop,edm,electro house,moombahton,pop",10,2009,M,Solo
130,Jason Derulo,7121242,"dance pop,pop,pop rap,post-teen pop,urban contemporary",9,2010,M,Solo
131,Linkin Park,13781152,"alternative metal,nu metal,post-grunge,rap metal",16,2000,M,Group
132,Rascal Flatts,2067756,"contemporary country,country,country road",13,2000,M,Group
133,Zac Brown Band,1781499,"contemporary country,country,country road,modern country rock",7,2008,M,Group
134,Trey Songz,4510865,"dance pop,pop,pop rap,r&b,southern hip hop,trap music,urban contemporary",14,2005,M,Solo
135,Josh Turner,1481309,"contemporary country,country,country road,modern country rock",8,2003,M,Solo
136,Brantley Gilbert,1695231,"contemporary country,country,country road,modern country rock",7,2009,M,Solo
137,Flo Rida,7304785,"dance pop,edm,miami hip hop,pop,pop rap",6,2008,M,Solo
138,Lana Del Rey,9179252,pop,7,2011,F,Solo
139,Paramore,4702645,"candy pop,emo,pixie,pop emo,pop punk",7,2005,,Group
140,Train,2991383,"neo mellow,pop,pop rock",10,1998,,Group
141,Lauren Alaina,303159,"contemporary country,country,country dawn,country pop,country road,modern country rock",3,2011,F,Solo
142,Adele,17965158,"british soul,pop,uk pop",3,2008,F,Solo
143,Miranda Lambert,2039592,"contemporary country,country,country dawn,country road",6,2005,F,Solo
144,Rick Ross,3490077,"dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap music",10,2006,M,Solo
145,Little Big Town,1553147,"contemporary country,country,country dawn,country road,modern country rock",8,2002,,Group
146,Brad Paisley,1590352,"contemporary country,country,country road,modern country rock",13,1999,M,Solo
147,John Legend,4709602,"neo mellow,neo soul,pop,r&b,urban contemporary",7,2003,M,Solo
148,Sia,14117938,"australian dance,australian pop,dance pop,pop",12,2003,F,Solo
149,Fitz And The Tantrums,493761,"indie pop,indie poptimism,la indie,modern rock",5,2010,,Group
150,Missy Elliott,1167959,"dance pop,hip hop,hip pop,pop,pop rap,r&b,urban contemporary",7,1997,M,Solo
151,Granger Smith,220737,"contemporary country,country,country road,modern country rock,outlaw country,red dirt,redneck,texas country",10,1999,M,Solo
152,Andy Grammer,684444,"neo mellow,pop,pop rock,post-teen pop",5,2011,M,Solo
153,Wale,2213618,"gangster rap,hip hop,pop,pop rap,rap,southern hip hop,trap music,urban contemporary",14,2008,M,Solo
154,George Michael,1994410,"dance rock,europop,new wave pop,soft rock",6,1987,M,Solo
155,Britney Spears,6578314,"dance pop,pop,pop rap,post-teen pop",9,1999,F,Solo
156,Leonard Cohen,1561382,"canadian folk,canadian singer-songwriter,folk,folk rock,folk-pop,melancholia,permanent wave,singer-songwriter,traditional folk",26,1967,M,Solo
157,A Tribe Called Quest,1059791,"alternative hip hop,conscious hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,jazz rap,pop rap,rap",5,1990,M,Group
158,DJ Drama,708319,"dirty south rap,gangster rap,hip hop,philly rap,pop rap,rap,southern hip hop,trap music",20,2006,M,Solo
159,Usher,7186671,"atl hip hop,dance pop,pop,pop rap,r&b,urban contemporary",8,1994,M,Solo
160,The Game,2223790,"gangster rap,hip hop,pop rap,rap,southern hip hop,trap music",42,2003,M,Solo
161,Grace,3232153,"alternative metal,canadian metal,canadian rock,nu metal,pop punk,post-grunge",6,2003,,
162,OneRepublic,8660053,"dance pop,neo mellow,piano rock,pop,pop rock",7,2007,M,Group
163,Now,1610852,"canadian hip hop,melodic rap,pop,pop rap,rap,southern hip hop,toronto rap,trap music",4,2010,,Solo
164,Solange,871081,"alternative r&b,electropop,escape room,hip pop,indie soul,neo soul,pop,r&b,urban contemporary",5,2003,F,Solo
165,Mike Posner,911203,"dance pop,pop,pop rap",9,2009,M,Solo
166,Fat Joe,676803,"dance pop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,hip pop,pop,pop rap,rap,trap music",13,1993,M,Solo
167,Remy Ma,397099,"hip pop,r&b,trap queen",5,2006,F,Solo
168,Ben Rector,208118,"acoustic pop,folk-pop,indiecoustica,lds youth,neo mellow,piano rock,pop rock",7,2010,M,Solo
169,David Nail,259190,"contemporary country,country,country road,modern country rock",6,2009,M,Solo
170,Blink,5386066,"pop punk,punk,socal pop punk",12,1994,M,Group
171,Carlos Vives,3346513,"champeta,colombian pop,dance pop,latin,latin pop,tropical,vallenato",15,1993,M,Solo
172,Jeremih,3744923,"chicago rap,dance pop,hip hop,pop,pop rap,r&b,rap,southern hip hop,trap music,urban contemporary",5,2009,M,Solo
173,Disturbed,3363357,"alternative metal,nu metal,post-grunge,rap metal",10,2000,M,Group
174,Red Hot Chili Peppers,11748722,"alternative rock,funk metal,funk rock,permanent wave,post-grunge,rock",11,1984,M,Group
175,Alisan Porter,11167,deep talent show,4,2009,F,Solo
176,Prince And The Revolution,3862560,"funk,funk rock,minneapolis sound",49,1978,M,Group
177,Prince,4791836,"bachata,latin,latin pop,pop,reggaeton,tropical",8,2010,M,Solo
178,Rachel Platten,775942,"pop,post-teen pop,viral pop",3,2011,F,Solo
179,Gwen Stefani,3369602,"dance pop,europop,hip pop,pop,pop rock,post-teen pop",5,2004,F,Solo
180,Randy Houser,594143,"contemporary country,country,country road,modern country rock,redneck",5,2008,M,Solo
181,Empire Of The Sun,849439,"alternative dance,australian dance,australian electropop,dance-punk,electropop,indie pop,indietronica,modern rock,neo-synthpop,new rave,pop",3,2008,,Group
182,Fall Out Boy,7178290,"emo,modern rock,pop punk",12,2003,M,Group
183,Nelly,1351011,"dance pop,hip hop,pop,pop rap,rap,southern hip hop",9,2000,M,Solo
184,Curren$Y,617001,"alternative hip hop,dirty south rap,gangster rap,hip hop,new orleans rap,pop rap,rap,southern hip hop,underground hip hop",28,2009,M,Solo
185,David Bowie,4607537,"album rock,art rock,classic rock,dance rock,glam rock,new wave,permanent wave,protopunk,rock",26,1967,M,Solo
186,PSY,1057996,"dance pop,k-hop,k-pop",4,2005,M,Solo
187,Adam Lambert,941291,"australian pop,dance pop,idol,pop,post-teen pop",5,2009,M,Solo
188,Omarion,1508251,"dance pop,deep pop r&b,hip pop,pop,pop rap,r&b,rap,southern hip hop,urban contemporary",5,2005,M,Solo
189,T-Pain,2235240,"dance pop,hip hop,pop,pop rap,r&b,rap,southern hip hop,trap music,urban contemporary",8,2005,,
190,Prince Royce,4791836,"bachata,latin,latin pop,pop,reggaeton,tropical",8,2010,M,Solo
191,Carly Rae Jepsen,3685271,"canadian pop,dance pop,electropop,indie poptimism,pop,post-teen pop",6,2008,F,Solo
192,Tech N9Ne,1401111,"hip hop,pop rap,rap,southern hip hop",21,1999,M,Solo
193,NEEDTOBREATHE,523290,"acoustic pop,ccm,christian alternative rock,christian indie,christian music,indiecoustica,neo mellow,pop rock,worship",9,2006,M,Group
194,Jessie J,6648319,"australian pop,dance pop,pop,pop rap,post-teen pop,uk pop,viral pop",4,2010,F,Solo
195,Shaggy,1215671,"dance pop,reggae fusion",17,1993,M,Solo
196,Hilary Duff,1414473,"dance pop,pop,post-teen pop",8,2002,F,Solo
197,Mumford and Sons,5370453,"folk-pop,modern rock,neo mellow,stomp and holler,uk americana",10,2009,M,Group
198,Ne-Yo,4824205,"dance pop,pop,pop rap,r&b,urban contemporary",9,2006,M,Solo
199,Jamie Foxx,571390,"dance pop,hip hop,hip pop,neo soul,pop rap,r&b,southern hip hop,urban contemporary",4,2005,M,Solo
200,Ludacris,1693928,"atl hip hop,dance pop,dirty south rap,hip hop,pop rap,rap,southern hip hop,trap music",8,2000,M,Solo
201,Breaking Benjamin,2595105,"alternative metal,nu metal,pop punk,post-grunge,rap rock",8,2002,M,Group
202,Action Bronson,495238,"alternative hip hop,east coast hip hop,hip hop,nyc rap,pop rap,rap,southern hip hop,underground hip hop",5,2011,M,Solo
203,James Newton Howard,192275,"scorecore,soundtrack",27,1993,M,Solo
204,B.o.B,1631934,"atl hip hop,dance pop,hip hop,pop,pop rap,rap,southern hip hop",20,2009,M,Solo
205,Common,548359,"alternative hip hop,chicago rap,conscious hip hop,gangster rap,hip hop,neo soul,pop rap,rap,southern hip hop",13,1992,M,Solo
206,Kid Rock,1019710,"alternative metal,nu metal,post-grunge,rock",10,1990,M,Solo
207,Florence + The Machine,4848406,"art pop,baroque pop,chamber pop,folk-pop,pop,uk alternative pop",9,2009,,Group
208,Annie Lennox,654381,"folk,folk-pop,lilith,mellow gold,new wave pop,pop rock,soft rock",8,1992,F,Solo
209,Colbie Caillat,1657657,"dance pop,folk-pop,neo mellow,pop,pop rock,post-teen pop,viral pop",13,2007,F,Solo
210,Nico,125360,"art pop,art rock,experimental,experimental rock,melancholia,post-punk,psychedelic rock",10,1967,,
211,T.I.,3011841,"atl hip hop,dance pop,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap music",22,2001,M,Solo
212,Damien Rice,777312,"acoustic pop,folk-pop,indie folk,irish rock,irish singer-songwriter,neo mellow,singer-songwriter",6,2003,M,Solo
213,The White Buffalo,275112,new americana,6,2006,M,Solo
214,Big,6653562,"detroit hip hop,hip hop,pop,pop rap,rap,southern hip hop,trap music",7,2011,,
215,The Script,5470964,"celtic rock,dance pop,neo mellow,pop,pop rock,post-teen pop,viral pop",5,2008,M,Group
216,OK Go,360235,"alternative rock,chicago indie,comic,dance-punk,garage rock,indie pop,indie rock,modern rock,permanent wave,pop rock",7,2002,,
217,Glen Campbell,187959,"adult standards,arkansas country,brill building pop,country rock,folk,folk rock,lounge,mellow gold,nashville sound,soft rock,traditional country",56,1962,M,Solo
218,Lil Jon,879548,"atl hip hop,crunk,dance pop,dirty south rap,pop rap,southern hip hop",3,1999,M,Solo
219,Jeezy,1380700,"atl hip hop,crunk,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap music",29,2005,M,Solo
220,Joe Nichols,441395,"arkansas country,contemporary country,country,country road,modern country rock",11,2002,M,Solo
221,Chris Lake,126175,"bass house,big room,edm,electro house,house,melbourne bounce,progressive house",3,2009,M,Solo
222,KONGOS,216822,"modern alternative rock,modern blues rock,modern rock,south african rock",6,2007,,Group
223,Ingrid Michaelson,611578,"acoustic pop,ectofolk,folk-pop,indie pop,indiecoustica,lilith,neo mellow,pop,pop rock",8,2007,F,Solo
224,Jack,2581399,neo mellow,11,2001,,
225,"""Weird Al"" Yankovic",428071,"antiviral pop,comedy rock,comic",14,1983,M,Solo
226,Idina Menzel,209158,"broadway,hollywood,show tunes",10,1998,F,Solo
227,George Strait,1539350,"contemporary country,country,country road,traditional country",43,1981,M,Solo
228,The Band Perry,1018054,"contemporary country,country,country dawn,country road,modern country rock",3,2010,,Group
229,Busta Rhymes,1273360,"east coast hip hop,hardcore hip hop,hip hop,hip pop,pop rap,rap",20,1996,M,Solo
230,Craig Campbell,205230,"contemporary country,country,country pop,country road,modern country rock,redneck",3,2011,M,Solo
231,Afrojack,3102111,"big room,dance pop,deep big room,disco house,dutch house,edm,electro house,pop,progressive electro house,progressive house,tropical house",6,2010,M,Solo
232,Robin Thicke,1469727,"dance pop,hip pop,neo soul,pop,r&b,urban contemporary",11,2002,M,Solo
233,Christina Perri,2168781,"dance pop,neo mellow,pop,pop rock,post-teen pop,viral pop",3,2011,F,Solo
234,Neon Trees,785980,"indie pop,modern rock,neo mellow,pop,pop punk,pop rock,post-teen pop",5,2010,,Group
235,Sara Bareilles,1274576,"acoustic pop,dance pop,folk-pop,lilith,neo mellow,pop,pop rock",9,2004,F,Solo
236,Passenger,2335182,"indie folk,neo mellow,pop",14,2007,M,Solo
237,Jerrod Niemann,348876,"contemporary country,country,country road,modern country rock,redneck",5,2010,M,Solo
238,The Black Keys,2998088,"blues rock,garage rock,modern blues rock,modern rock,punk blues,rock",11,2002,M,Group
239,Craig Morgan,544011,"contemporary country,country,country road,modern country rock,redneck",8,2000,M,Solo
240,Aloe Blacc,550613,r&b,6,2005,M,Solo
241,Hunter Hayes,894155,"contemporary country,country,country road,modern country rock,neo mellow,pop,post-teen pop",5,2011,M,Solo
242,Christina Aguilera,4588776,"dance pop,pop,post-teen pop,r&b",9,1999,F,Solo
243,Arctic Monkeys,8499414,"garage rock,modern rock,permanent wave,rock,sheffield indie",6,2006,M,Group
244,Sara Evans,657438,"contemporary country,country,country dawn,country gospel,country road",10,1997,F,Solo
245,Cash Cash,3514553,"arkansas country,outlaw country,traditional country",91,1957,M,Solo
246,Thompson Square,302330,"contemporary country,country,country dawn,country pop,country road,modern country rock",4,2007,,Group
247,AWOLNATION,1527216,"indie pop,la indie,modern alternative rock,modern rock,rock,stomp pop",6,2011,M,Group
248,U2,5714273,"irish rock,permanent wave,rock",17,1980,M,Group
249,Daughtry,1232777,"alternative metal,neo mellow,nu metal,pop rock,post-grunge",5,2006,M,Solo
250,The Fray,2657905,"neo mellow,piano rock,pop,pop rock",5,2005,M,Group
251,Lupe Fiasco,1244825,"chicago rap,conscious hip hop,gangster rap,hip hop,pop rap,rap,southern hip hop",8,2006,M,Solo
252,Dave Days,18685,viral pop,4,2009,M,Solo
253,Tessanne Chin,16619,reggae fusion,3,2010,F,Solo
254,R. Kelly,1966122,,18,1992,M,Solo
255,Tamar Braxton,583774,"dance pop,deep pop r&b,hip pop,neo soul,pop,r&b,urban contemporary",5,2000,F,Solo
256,Enya,1142088,"celtic,middle earth",11,1987,F,Solo
257,Bon Jovi,6660085,"glam metal,rock",21,1984,M,Solo
258,Daft Punk,5664441,"electro,filter house",14,1997,,Group
259,Tegan And Sara,461147,"canadian indie,dance pop,folk-pop,indie pop,indie poptimism,indie rock,indietronica,lilith,metropopolis,permanent wave,pop rock",12,1999,F,Group
260,Gavin DeGraw,930874,"acoustic pop,neo mellow,pop,pop rock",9,2003,M,Solo
261,Pearl Jam,5087965,"alternative rock,grunge,permanent wave,post-grunge,rock",13,1991,M,Group
262,Glee Cast,1148517,"glee club,hollywood,pop,post-teen pop",26,2009,,Group
263,Armin van Buuren,3109176,"edm,progressive house,progressive trance,trance",25,1999,M,Solo
264,Sheryl Crow,545943,"folk,folk-pop,lilith,mellow gold,neo mellow,new wave pop,permanent wave,pop rock,rock",16,1993,F,Solo
265,MIKA,911509,"dance pop,europop,pop",12,2006,M,Solo
266,Arcade Fire,1596031,"alternative dance,alternative rock,baroque pop,canadian indie,chamber pop,dance-punk,garage rock,indie folk,indie pop,indie rock,indietronica,modern rock,new rave,permanent wave,quebec indie,rock",6,2004,,Group
267,Marc Anthony,3325131,"latin,latin pop,modern salsa,salsa,tropical",21,1991,M,Solo
268,Avenged Sevenfold,3517274,"alternative metal,nu metal,post-grunge",8,2002,M,Group
269,Rocko,288358,"atl hip hop,atl trap,deep southern trap,dirty south rap,gangster rap,pop rap,rap,southern hip hop,trap music",13,2006,M,Solo
270,Sean Kingston,1530744,"dance pop,miami hip hop,pop,pop rap,post-teen pop,urban contemporary",3,2007,M,Solo
271,The Wanted,1880577,"boy band,dance pop,pop,post-teen pop,viral pop",3,2010,M,Group
272,Fantasia,997557,"dance pop,deep pop r&b,hip pop,neo soul,quiet storm,r&b,urban contemporary",8,2004,F,Solo
273,Ace Hood,1083616,"dirty south rap,gangster rap,hip hop,miami hip hop,pop rap,rap,southern hip hop,trap music",26,2008,M,Solo
274,Jack Johnson,2581399,neo mellow,11,2001,M,Solo
